date,canton,temp_max,temp_min,precipitation,snowfall,snow_depth,weather_code,wind_speed,weather_condition,week,year
2020-03-20,ZH,10.9,0.9,1.3,0.0,169.0,61,1.1,Rain,12,2020
2020-03-21,ZH,8.5,0.8,3.5,0.0,167.0,61,40.3,Rain,12,2020
2020-03-22,ZH,7.7,0.5,3.9,0.0,165.0,61,16.7,Rain,12,2020
2020-03-23,ZH,11.6,2.5,1.4,0.0,163.0,61,29.5,Rain,13,2020
2020-03-24,ZH,8.5,-3.0,4.5,0.0,161.0,61,9.2,Rain,13,2020
2020-03-25,ZH,12.5,4.2,1.3,0.0,159.0,61,6.5,Rain,13,2020
2020-03-26,ZH,3.1,-5.8,0.4,0.0,157.0,0,0.7,Clear sky,13,2020
2020-03-27,ZH,13.3,5.7,0.3,0.0,155.0,0,13.9,Clear sky,13,2020
2020-03-28,ZH,6.1,-2.5,5.0,0.0,153.0,61,0.5,Rain,13,2020
2020-03-29,ZH,4.7,-2.3,0.4,0.0,151.0,0,12.8,Clear sky,13,2020
2020-03-30,ZH,7.9,-0.9,1.7,0.0,149.0,61,0.1,Rain,14,2020
2020-03-31,ZH,4.5,-5.5,0.4,0.0,147.0,0,6.9,Clear sky,14,2020
2020-04-01,ZH,17.2,6.3,0.9,0.0,145.0,0,1.6,Clear sky,14,2020
2020-04-02,ZH,14.1,4.2,0.2,0.0,143.0,0,28.0,Clear sky,14,2020
2020-04-03,ZH,16.4,7.4,0.0,0.0,141.0,0,15.8,Clear sky,14,2020
2020-04-04,ZH,12.6,0.6,1.1,0.0,139.0,61,1.7,Rain,14,2020
2020-04-05,ZH,14.8,6.9,2.1,0.0,137.0,61,7.4,Rain,14,2020
2020-04-06,ZH,15.8,8.1,2.1,0.0,135.0,61,11.4,Rain,15,2020
2020-04-07,ZH,14.9,10.6,0.2,0.0,133.0,0,16.1,Clear sky,15,2020
2020-04-08,ZH,20.3,11.6,1.8,0.0,131.0,61,9.4,Rain,15,2020
2020-04-09,ZH,17.3,7.9,0.1,0.0,129.0,0,1.2,Clear sky,15,2020
2020-04-10,ZH,16.1,5.9,2.9,0.0,127.0,61,3.4,Rain,15,2020
2020-04-11,ZH,9.9,2.1,0.2,0.0,125.0,0,7.6,Clear sky,15,2020
2020-04-12,ZH,16.6,4.0,2.2,0.0,123.0,61,0.6,Rain,15,2020
2020-04-13,ZH,19.2,9.4,4.3,0.0,121.0,61,17.4,Rain,16,2020
2020-04-14,ZH,13.4,7.5,1.3,0.0,119.0,61,13.9,Rain,16,2020
2020-04-15,ZH,14.9,6.1,5.2,0.0,117.0,61,1.1,Rain,16,2020
2020-04-16,ZH,6.4,-1.6,0.1,0.0,115.0,0,5.4,Clear sky,16,2020
2020-04-17,ZH,11.8,1.1,1.5,0.0,113.0,61,2.9,Rain,16,2020
2020-04-18,ZH,9.2,1.1,0.4,0.0,111.0,0,13.9,Clear sky,16,2020
2020-04-19,ZH,15.8,9.5,0.5,0.0,109.0,0,19.8,Clear sky,16,2020
2020-04-20,ZH,15.0,6.4,3.5,0.0,107.0,61,27.1,Rain,17,2020
2020-04-21,ZH,15.2,8.2,2.3,0.0,105.0,61,27.0,Rain,17,2020
2020-04-22,ZH,14.2,9.7,3.3,0.0,103.0,61,24.7,Rain,17,2020
2020-04-23,ZH,18.6,12.2,2.8,0.0,101.0,61,1.9,Rain,17,2020
2020-04-24,ZH,11.8,3.5,0.1,0.0,99.0,0,10.6,Clear sky,17,2020
2020-04-25,ZH,15.3,8.4,1.7,0.0,97.0,61,3.8,Rain,17,2020
2020-04-26,ZH,17.3,6.7,0.3,0.0,95.0,0,16.9,Clear sky,17,2020
2020-04-27,ZH,15.0,9.6,4.7,0.0,93.0,61,15.3,Rain,18,2020
2020-04-28,ZH,15.2,8.8,1.6,0.0,91.0,61,6.7,Rain,18,2020
2020-04-29,ZH,13.0,7.0,3.6,0.0,89.0,61,10.0,Rain,18,2020
2020-04-30,ZH,14.5,6.2,1.3,0.0,87.0,61,3.8,Rain,18,2020
2020-05-01,ZH,23.1,12.4,0.8,0.0,85.0,0,9.7,Clear sky,18,2020
2020-05-02,ZH,14.9,6.9,0.9,0.0,83.0,0,9.4,Clear sky,18,2020
2020-05-03,ZH,20.5,12.9,0.1,0.0,81.0,0,7.5,Clear sky,18,2020
2020-05-04,ZH,19.2,8.7,1.6,0.0,79.0,61,3.8,Rain,19,2020
2020-05-05,ZH,20.8,8.1,0.6,0.0,77.0,0,20.8,Clear sky,19,2020
2020-05-06,ZH,26.3,17.5,3.2,0.0,75.0,61,2.3,Rain,19,2020
2020-05-07,ZH,19.7,15.5,1.0,0.0,73.0,0,0.8,Clear sky,19,2020
2020-05-08,ZH,25.5,20.0,1.7,0.0,71.0,61,5.6,Rain,19,2020
2020-05-09,ZH,24.3,15.2,0.9,0.0,69.0,0,2.9,Clear sky,19,2020
2020-05-10,ZH,21.1,12.3,3.9,0.0,67.0,61,3.9,Rain,19,2020
2020-05-11,ZH,21.3,17.5,0.5,0.0,65.0,0,7.7,Clear sky,20,2020
2020-05-12,ZH,21.5,12.5,2.2,0.0,63.0,61,0.8,Rain,20,2020
2020-05-13,ZH,18.5,9.2,0.3,0.0,61.0,0,11.6,Clear sky,20,2020
2020-05-14,ZH,22.9,17.6,1.9,0.0,59.0,61,10.5,Rain,20,2020
2020-05-15,ZH,19.2,7.9,0.5,0.0,57.0,0,1.3,Clear sky,20,2020
2020-05-16,ZH,21.1,12.7,0.7,0.0,55.0,0,2.2,Clear sky,20,2020
2020-05-17,ZH,14.4,5.3,1.0,0.0,53.0,0,2.3,Clear sky,20,2020
2020-05-18,ZH,18.4,11.5,4.5,0.0,51.0,61,2.0,Rain,21,2020
2020-05-19,ZH,22.6,11.2,2.6,0.0,49.0,61,4.2,Rain,21,2020
2020-05-20,ZH,17.6,4.9,4.9,0.0,47.0,61,3.4,Rain,21,2020
2020-05-21,ZH,22.0,13.6,0.9,0.0,45.0,0,7.7,Clear sky,21,2020
2020-05-22,ZH,19.5,8.4,1.9,0.0,43.0,61,19.0,Rain,21,2020
2020-05-23,ZH,24.0,18.2,2.2,0.0,41.0,61,0.1,Rain,21,2020
2020-05-24,ZH,24.8,16.6,1.0,0.0,39.0,0,27.3,Clear sky,21,2020
2020-05-25,ZH,21.5,15.4,1.2,0.0,37.0,61,10.0,Rain,22,2020
2020-05-26,ZH,20.9,13.2,0.5,0.0,35.0,0,10.5,Clear sky,22,2020
2020-05-27,ZH,21.1,14.9,0.9,0.0,33.0,0,18.6,Clear sky,22,2020
2020-05-28,ZH,20.9,13.5,0.9,0.0,31.0,0,11.9,Clear sky,22,2020
2020-05-29,ZH,24.6,15.2,3.3,0.0,29.0,61,0.1,Rain,22,2020
2020-05-30,ZH,28.5,23.7,3.1,0.0,27.0,61,4.1,Rain,22,2020
2020-05-31,ZH,17.0,11.5,0.1,0.0,25.0,0,10.9,Clear sky,22,2020
2020-06-01,ZH,19.9,12.7,2.4,0.0,23.0,61,24.9,Rain,23,2020
2020-06-02,ZH,27.1,17.8,0.7,0.0,21.0,0,1.2,Clear sky,23,2020
2020-06-03,ZH,19.6,8.0,0.2,0.0,19.0,0,1.2,Clear sky,23,2020
2020-06-04,ZH,18.9,11.6,2.8,0.0,17.0,61,4.2,Rain,23,2020
2020-06-05,ZH,29.3,21.4,1.5,0.0,15.0,61,8.0,Rain,23,2020
2020-06-06,ZH,22.2,15.1,2.2,0.0,13.0,61,3.6,Rain,23,2020
2020-06-07,ZH,22.2,15.4,0.9,0.0,11.0,0,6.4,Clear sky,23,2020
2020-06-08,ZH,21.5,13.2,1.0,0.0,9.0,0,26.0,Clear sky,24,2020
2020-06-09,ZH,24.7,17.7,2.8,0.0,7.0,61,5.7,Rain,24,2020
2020-06-10,ZH,19.6,10.0,0.7,0.0,5.0,0,18.7,Clear sky,24,2020
2020-06-11,ZH,28.3,20.7,1.4,0.0,3.0,61,19.0,Rain,24,2020
2020-06-12,ZH,25.3,16.0,2.8,0.0,1.0,61,2.6,Rain,24,2020
2020-06-13,ZH,22.8,12.7,0.5,0.0,0.0,0,19.9,Clear sky,24,2020
2020-06-14,ZH,21.3,11.8,5.3,0.0,0.0,61,10.1,Rain,24,2020
2020-06-15,ZH,23.3,16.8,3.4,0.0,0.0,61,3.1,Rain,25,2020
2020-06-16,ZH,26.1,17.2,0.6,0.0,0.0,0,4.9,Clear sky,25,2020
2020-06-17,ZH,30.9,21.4,1.0,0.0,0.0,0,34.9,Clear sky,25,2020
2020-06-18,ZH,27.5,19.9,1.8,0.0,0.0,61,0.1,Rain,25,2020
2020-06-19,ZH,26.0,15.0,4.2,0.0,0.0,61,0.2,Rain,25,2020
2020-06-20,ZH,23.1,15.4,0.7,0.0,0.0,0,11.0,Clear sky,25,2020
2020-06-21,ZH,26.7,19.7,0.8,0.0,0.0,0,3.1,Clear sky,25,2020
2020-06-22,ZH,22.0,15.2,3.8,0.0,0.0,61,3.5,Rain,26,2020
2020-06-23,ZH,24.0,15.4,8.9,0.0,0.0,61,21.1,Rain,26,2020
2020-06-24,ZH,26.5,17.0,0.3,0.0,0.0,0,11.5,Clear sky,26,2020
2020-06-25,ZH,24.8,17.2,3.0,0.0,0.0,61,3.5,Rain,26,2020
2020-06-26,ZH,21.0,10.9,1.7,0.0,0.0,61,14.1,Rain,26,2020
2020-06-27,ZH,18.4,6.5,1.5,0.0,0.0,61,1.4,Rain,26,2020
2020-06-28,ZH,24.5,18.1,1.0,0.0,0.0,61,3.5,Rain,26,2020
2020-06-29,ZH,23.4,14.0,1.0,0.0,0.0,61,12.7,Rain,27,2020
2020-06-30,ZH,25.8,14.9,2.6,0.0,0.0,61,25.8,Rain,27,2020
2020-07-01,ZH,21.2,14.2,0.5,0.0,0.0,0,1.3,Clear sky,27,2020
2020-07-02,ZH,19.9,14.3,0.8,0.0,0.0,0,10.8,Clear sky,27,2020
2020-07-03,ZH,24.2,14.9,6.1,0.0,0.0,61,5.3,Rain,27,2020
2020-07-04,ZH,24.0,15.1,1.2,0.0,0.0,61,1.5,Rain,27,2020
2020-07-05,ZH,14.7,8.0,4.5,0.0,0.0,61,0.9,Rain,27,2020
2020-07-06,ZH,16.4,7.3,5.9,0.0,0.0,61,1.7,Rain,28,2020
2020-07-07,ZH,21.4,12.7,2.5,0.0,0.0,61,11.0,Rain,28,2020
2020-07-08,ZH,20.8,13.1,0.4,0.0,0.0,0,4.9,Clear sky,28,2020
2020-07-09,ZH,20.4,11.2,2.0,0.0,0.0,61,2.2,Rain,28,2020
2020-07-10,ZH,23.5,16.0,2.1,0.0,0.0,61,9.5,Rain,28,2020
2020-07-11,ZH,27.0,17.9,0.1,0.0,0.0,0,22.1,Clear sky,28,2020
2020-07-12,ZH,17.9,14.9,2.4,0.0,0.0,61,18.0,Rain,28,2020
2020-07-13,ZH,20.8,13.7,1.5,0.0,0.0,61,5.5,Rain,29,2020
2020-07-14,ZH,20.9,12.8,2.2,0.0,0.0,61,19.0,Rain,29,2020
2020-07-15,ZH,21.6,15.9,3.9,0.0,0.0,61,3.4,Rain,29,2020
2020-07-16,ZH,17.3,9.8,1.6,0.0,0.0,61,0.5,Rain,29,2020
2020-07-17,ZH,22.4,15.6,0.7,0.0,0.0,0,22.0,Clear sky,29,2020
2020-07-18,ZH,21.1,13.0,0.7,0.0,0.0,0,7.5,Clear sky,29,2020
2020-07-19,ZH,27.1,21.7,0.5,0.0,0.0,0,1.8,Clear sky,29,2020
2020-07-20,ZH,22.1,16.8,0.9,0.0,0.0,0,15.8,Clear sky,30,2020
2020-07-21,ZH,18.9,13.1,1.8,0.0,0.0,61,2.8,Rain,30,2020
2020-07-22,ZH,16.5,10.5,5.0,0.0,0.0,61,8.5,Rain,30,2020
2020-07-23,ZH,20.7,15.0,0.1,0.0,0.0,0,38.6,Clear sky,30,2020
2020-07-24,ZH,18.7,10.9,0.5,0.0,0.0,0,0.4,Clear sky,30,2020
2020-07-25,ZH,19.7,8.0,0.4,0.0,0.0,0,9.6,Clear sky,30,2020
2020-07-26,ZH,22.0,12.3,0.2,0.0,0.0,0,2.6,Clear sky,30,2020
2020-07-27,ZH,21.7,16.9,0.8,0.0,0.0,0,1.1,Clear sky,31,2020
2020-07-28,ZH,21.6,11.1,1.2,0.0,0.0,61,6.3,Rain,31,2020
2020-07-29,ZH,25.2,15.8,2.3,0.0,0.0,61,33.1,Rain,31,2020
2020-07-30,ZH,22.2,14.4,0.9,0.0,0.0,0,9.3,Clear sky,31,2020
2020-07-31,ZH,29.1,23.4,1.6,0.0,0.0,61,12.3,Rain,31,2020
2020-08-01,ZH,16.0,4.8,1.7,0.0,0.0,61,3.3,Rain,31,2020
2020-08-02,ZH,14.3,8.2,0.4,0.0,0.0,0,10.6,Clear sky,31,2020
2020-08-03,ZH,11.0,3.7,1.7,0.0,0.0,61,16.2,Rain,32,2020
2020-08-04,ZH,11.6,0.2,3.1,0.0,0.0,61,0.1,Rain,32,2020
2020-08-05,ZH,18.2,9.6,0.6,0.0,0.0,0,5.3,Clear sky,32,2020
2020-08-06,ZH,17.4,8.0,1.5,0.0,0.0,61,8.2,Rain,32,2020
2020-08-07,ZH,15.2,7.2,1.9,0.0,0.0,61,1.7,Rain,32,2020
2020-08-08,ZH,14.8,7.1,11.9,0.0,0.0,61,3.7,Rain,32,2020
2020-08-09,ZH,12.8,4.6,1.4,0.0,0.0,61,15.6,Rain,32,2020
2020-08-10,ZH,15.0,4.3,0.8,0.0,0.0,0,18.9,Clear sky,33,2020
2020-08-11,ZH,15.9,7.8,0.9,0.0,0.0,0,0.0,Clear sky,33,2020
2020-08-12,ZH,9.4,0.1,1.1,0.0,0.0,61,2.7,Rain,33,2020
2020-08-13,ZH,17.7,12.2,0.1,0.0,0.0,0,3.6,Clear sky,33,2020
2020-08-14,ZH,9.4,0.4,2.1,0.0,0.0,61,50.6,Rain,33,2020
2020-08-15,ZH,16.5,7.8,1.0,0.0,0.0,61,3.0,Rain,33,2020
2020-08-16,ZH,15.4,7.1,1.0,0.0,0.0,61,3.4,Rain,33,2020
2020-08-17,ZH,16.4,6.0,0.2,0.0,0.0,0,2.1,Clear sky,34,2020
2020-08-18,ZH,13.6,2.5,0.6,0.0,0.0,0,16.5,Clear sky,34,2020
2020-08-19,ZH,20.6,10.4,0.8,0.0,0.0,0,10.9,Clear sky,34,2020
2020-08-20,ZH,17.7,9.3,6.7,0.0,0.0,61,9.5,Rain,34,2020
2020-08-21,ZH,17.4,8.9,0.5,0.0,0.0,0,2.5,Clear sky,34,2020
2020-08-22,ZH,15.0,6.5,2.4,0.0,0.0,61,30.6,Rain,34,2020
2020-08-23,ZH,15.3,5.4,1.0,0.0,0.0,61,13.1,Rain,34,2020
2020-08-24,ZH,18.2,12.1,0.3,0.0,0.0,0,14.9,Clear sky,35,2020
2020-08-25,ZH,19.4,14.6,0.1,0.0,0.0,0,15.3,Clear sky,35,2020
2020-08-26,ZH,19.7,9.4,1.4,0.0,0.0,61,3.6,Rain,35,2020
2020-08-27,ZH,15.4,10.4,6.4,0.0,0.0,61,11.2,Rain,35,2020
2020-08-28,ZH,15.7,11.8,0.1,0.0,0.0,0,12.2,Clear sky,35,2020
2020-08-29,ZH,16.5,5.5,0.6,0.0,0.0,0,3.3,Clear sky,35,2020
2020-08-30,ZH,14.7,7.9,3.6,0.0,0.0,61,4.1,Rain,35,2020
2020-08-31,ZH,13.4,8.8,1.1,0.0,0.0,61,9.1,Rain,36,2020
2020-09-01,ZH,8.5,-1.7,0.3,0.0,0.0,0,1.4,Clear sky,36,2020
2020-09-02,ZH,9.4,1.5,3.6,0.0,0.0,61,1.4,Rain,36,2020
2020-09-03,ZH,9.6,2.2,0.3,0.0,0.0,0,13.6,Clear sky,36,2020
2020-09-04,ZH,7.8,0.2,2.1,0.0,0.0,61,2.9,Rain,36,2020
2020-09-05,ZH,6.0,-1.9,0.1,0.0,0.0,0,25.6,Clear sky,36,2020
2020-09-06,ZH,9.5,0.8,0.3,0.0,0.0,0,6.8,Clear sky,36,2020
2020-09-07,ZH,9.2,2.3,3.1,0.0,0.0,61,28.7,Rain,37,2020
2020-09-08,ZH,5.2,-3.2,1.1,0.0,0.0,61,8.4,Rain,37,2020
2020-09-09,ZH,10.8,2.9,1.1,0.0,0.0,61,3.9,Rain,37,2020
2020-09-10,ZH,10.3,7.1,2.0,0.0,0.0,61,2.7,Rain,37,2020
2020-09-11,ZH,7.9,2.8,3.8,0.0,0.0,61,12.5,Rain,37,2020
2020-09-12,ZH,4.2,-1.7,0.3,0.0,0.0,0,1.3,Clear sky,37,2020
2020-09-13,ZH,4.4,-3.2,4.2,0.0,0.0,61,0.9,Rain,37,2020
2020-09-14,ZH,9.3,0.5,1.2,0.0,0.0,61,20.4,Rain,38,2020
2020-09-15,ZH,6.4,-5.2,1.9,0.0,0.0,61,0.0,Rain,38,2020
2020-09-16,ZH,7.2,1.6,0.3,0.0,0.0,0,22.8,Clear sky,38,2020
2020-09-17,ZH,4.6,-3.9,0.7,0.0,0.0,0,10.7,Clear sky,38,2020
2020-09-18,ZH,10.5,1.4,7.0,0.0,0.0,61,24.4,Rain,38,2020
2020-09-19,ZH,2.3,-7.7,2.2,0.0,0.0,61,23.6,Rain,38,2020
2020-09-20,ZH,7.9,0.3,1.7,0.0,0.0,61,23.8,Rain,38,2020
2020-09-21,ZH,9.1,0.4,0.3,0.0,0.0,0,7.4,Clear sky,39,2020
2020-09-22,ZH,9.8,1.4,6.2,0.0,0.0,61,0.2,Rain,39,2020
2020-09-23,ZH,9.4,0.2,1.3,0.0,0.0,61,19.7,Rain,39,2020
2020-09-24,ZH,4.3,-4.8,0.4,0.0,0.0,0,19.8,Clear sky,39,2020
2020-09-25,ZH,6.8,4.7,0.5,0.0,0.0,0,9.3,Clear sky,39,2020
2020-09-26,ZH,5.8,-1.7,4.7,0.0,0.0,61,0.2,Rain,39,2020
2020-09-27,ZH,4.5,-4.1,0.7,0.0,0.0,0,13.9,Clear sky,39,2020
2020-09-28,ZH,2.7,-2.0,0.9,0.0,0.0,0,23.7,Clear sky,40,2020
2020-09-29,ZH,9.4,-1.5,5.4,0.0,0.0,61,1.9,Rain,40,2020
2020-09-30,ZH,11.5,4.3,6.8,0.0,0.0,61,6.5,Rain,40,2020
2020-10-01,ZH,-1.2,-11.4,2.4,0.0,0.0,71,4.6,Snow,40,2020
2020-10-02,ZH,2.8,-3.0,3.4,0.0,0.0,61,1.3,Rain,40,2020
2020-10-03,ZH,2.1,-5.7,0.8,0.0,0.0,0,9.7,Clear sky,40,2020
2020-10-04,ZH,-2.2,-10.3,2.6,0.0,0.0,71,3.9,Snow,40,2020
2020-10-05,ZH,0.2,-6.8,2.5,0.0,0.0,61,24.7,Rain,41,2020
2020-10-06,ZH,0.6,-5.7,1.1,0.0,0.0,61,46.2,Rain,41,2020
2020-10-07,ZH,2.7,-6.2,2.6,0.0,0.0,61,27.8,Rain,41,2020
2020-10-08,ZH,0.8,-7.7,2.9,0.0,0.0,61,18.4,Rain,41,2020
2020-10-09,ZH,-4.7,-12.1,0.8,0.0,0.0,71,12.7,Snow,41,2020
2020-10-10,ZH,6.0,-4.1,1.6,0.0,0.0,61,7.6,Rain,41,2020
2020-10-11,ZH,1.7,-7.3,0.9,0.0,0.0,0,9.8,Clear sky,41,2020
2020-10-12,ZH,-2.5,-9.7,1.8,0.0,0.0,71,20.8,Snow,42,2020
2020-10-13,ZH,-4.1,-9.2,2.3,0.0,0.0,71,14.3,Snow,42,2020
2020-10-14,ZH,-2.1,-12.1,0.2,0.0,0.0,0,10.1,Clear sky,42,2020
2020-10-15,ZH,-0.6,-8.7,0.1,0.0,0.0,0,14.5,Clear sky,42,2020
2020-10-16,ZH,-1.5,-7.7,2.3,0.0,0.0,71,1.2,Snow,42,2020
2020-10-17,ZH,-0.9,-5.5,2.7,0.0,0.0,71,37.7,Snow,42,2020
2020-10-18,ZH,-2.6,-13.8,0.1,0.0,0.0,0,4.5,Clear sky,42,2020
2020-10-19,ZH,2.2,-6.2,0.0,0.0,0.0,0,21.7,Clear sky,43,2020
